coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-57,-57.0,Personal
0.0,0.0,-56,-56.5,Personal
0.0,0.0,-57,-56.666666666666664,Personal
0.0,0.0,-57,-56.75,Personal
0.0,0.0,-57,-56.8,Personal
0.0,0.0,-57,-56.833333333333336,Personal
0.0,0.0,-57,-56.857142857142854,Personal
0.0,0.0,-57,-56.875,Personal
0.0,0.0,-57,-56.888888888888886,Personal
0.0,0.0,-57,-56.9,Personal
0.0,0.0,-57,-56.90909090909091,Personal
0.0,0.0,-57,-56.916666666666664,Personal
0.0,0.0,-57,-56.92307692307692,Personal
0.0,0.0,-57,-56.92857142857143,Personal
0.0,0.0,-57,-56.93333333333333,Personal
0.0,0.0,-58,-57.0,Personal
0.0,0.0,-58,-57.05882352941177,Personal
0.0,0.0,-58,-57.111111111111114,Personal
0.0,0.0,-58,-57.1578947368421,Personal
0.0,0.0,-57,-57.15,Personal
0.0,0.0,-58,-57.19047619047619,Personal
0.0,0.0,-58,-57.22727272727273,Personal
0.0,0.0,-58,-57.26086956521739,Personal
0.0,0.0,-59,-57.333333333333336,Personal
0.0,0.0,-58,-57.36,Personal
0.0,0.0,-57,-57.34615384615385,Personal
0.0,0.0,-58,-57.370370370370374,Personal
0.0,0.0,-58,-57.392857142857146,Personal
0.0,0.0,-58,-57.41379310344828,Personal
0.0,0.0,-58,-57.43333333333333,Personal
0.0,0.0,-58,-57.45161290322581,Personal
0.0,0.0,-58,-57.46875,Personal
0.0,0.0,-58,-57.484848484848484,Personal
0.0,0.0,-58,-57.5,Personal
0.0,0.0,-58,-57.51428571428571,Personal
0.0,0.0,-58,-57.52777777777778,Personal
0.0,0.0,-57,-57.513513513513516,Personal
0.0,0.0,-57,-57.5,Personal
0.0,0.0,-57,-57.48717948717949,Personal
0.0,0.0,-57,-57.475,Personal
0.0,0.0,-57,-57.46341463414634,Personal
0.0,0.0,-57,-57.45238095238095,Personal
0.0,0.0,-57,-57.44186046511628,Personal
0.0,0.0,-57,-57.43181818181818,Personal
0.0,0.0,-57,-57.422222222222224,Personal
0.0,0.0,-57,-57.41304347826087,Personal
0.0,0.0,-57,-57.40425531914894,Personal
0.0,0.0,-57,-57.395833333333336,Personal
0.0,0.0,-57,-57.38775510204081,Personal
0.0,0.0,-57,-57.38,Personal
0.0,0.0,-57,-57.372549019607845,Personal
0.0,0.0,-57,-57.36538461538461,Personal
0.0,0.0,-57,-57.35849056603774,Personal
0.0,0.0,-57,-57.351851851851855,Personal
0.0,0.0,-57,-57.345454545454544,Personal
0.0,0.0,-57,-57.339285714285715,Personal
0.0,0.0,-57,-57.333333333333336,Personal
0.0,0.0,-57,-57.327586206896555,Personal
0.0,0.0,-57,-57.32203389830509,Personal
